genotype,genotype_fold
MO44_PHW65_0105/PHT69,4
MO44_PHW65_0111/LH195,4
MO44_PHW65_0111/PHT69,2
MO44_PHW65_0113/LH195,4
MO44_PHW65_0113/PHT69,1
MO44_PHW65_0115/LH195,0
MO44_PHW65_0115/PHT69,3
MO44_PHW65_0116/LH195,1
MO44_PHW65_0116/PHT69,0
MO44_PHW65_0118/LH195,1
MO44_PHW65_0118/PHT69,2
MO44_PHW65_0120/LH195,4
MO44_PHW65_0120/PHT69,3
MO44_PHW65_0121/LH195,2
MO44_PHW65_0121/PHT69,1
MO44_PHW65_0126/CG102,3
MO44_PHW65_0126/LH185,2
MO44_PHW65_0126/LH198,4
MO44_PHW65_0128/LH195,4
MO44_PHW65_0128/PHT69,2
MO44_PHW65_0134/LH195,0
MO44_PHW65_0134/PHT69,0
MO44_PHW65_0135/LH195,0
MO44_PHW65_0135/PHT69,2
MO44_PHW65_0136/LH195,3
MO44_PHW65_0136/PHT69,0
MO44_PHW65_0139/LH195,3
MO44_PHW65_0139/PHT69,4
MO44_PHW65_0140/LH195,1
MO44_PHW65_0140/PHT69,4
MO44_PHW65_0144/LH195,1
MO44_PHW65_0144/PHT69,2
MO44_PHW65_0145/LH195,0
MO44_PHW65_0145/PHT69,4
MO44_PHW65_0147/LH195,1
MO44_PHW65_0147/PHT69,1
MO44_PHW65_0150/LH195,3
MO44_PHW65_0150/PHT69,3
MO44_PHW65_0151/LH195,0
MO44_PHW65_0151/PHT69,4
MO44_PHW65_0154/LH195,1
MO44_PHW65_0154/PHT69,1
MO44_PHW65_0155/LH195,2
MO44_PHW65_0155/PHT69,3
MO44_PHW65_0157/LH195,2
MO44_PHW65_0157/PHT69,1
MO44_PHW65_0159/LH195,0
MO44_PHW65_0159/PHT69,2
MO44_PHW65_0160/LH195,1
MO44_PHW65_0160/PHT69,1
MO44_PHW65_0163/LH195,3
MO44_PHW65_0163/PHT69,3
MO44_PHW65_0164/LH195,0
MO44_PHW65_0164/PHT69,1
MO44_PHW65_0165/LH195,4
MO44_PHW65_0165/PHT69,0
MO44_PHW65_0166/LH195,1
MO44_PHW65_0166/PHT69,1
MO44_PHW65_0167/LH195,4
MO44_PHW65_0167/PHT69,3
MO44_PHW65_0168/LH195,1
MO44_PHW65_0168/PHT69,1
MO44_PHW65_0171/LH195,2
MO44_PHW65_0171/PHT69,3
MO44_PHW65_0174/LH195,4
MO44_PHW65_0174/PHT69,1
MO44_PHW65_0175/LH195,2
MO44_PHW65_0175/PHT69,2
MO44_PHW65_0176/LH195,0
MO44_PHW65_0176/PHT69,3
MO44_PHW65_0177/LH195,4
MO44_PHW65_0177/PHT69,3
MO44_PHW65_0178/LH195,2
MO44_PHW65_0178/PHT69,2
MO44_PHW65_0179/LH195,0
MO44_PHW65_0179/PHT69,3
MO44_PHW65_0180/LH195,1
MO44_PHW65_0180/PHT69,2
MO44_PHW65_0184/LH195,3
MO44_PHW65_0184/PHT69,1
MO44_PHW65_0185/LH195,0
MO44_PHW65_0185/PHT69,0
MO44_PHW65_0187/LH195,0
MO44_PHW65_0187/PHT69,0
MO44_PHW65_0188/LH195,2
MO44_PHW65_0188/PHT69,0
MO44_PHW65_0189/LH195,4
MO44_PHW65_0189/PHT69,3
MO44_PHW65_0191/LH195,4
MO44_PHW65_0191/PHT69,1
MO44_PHW65_0193/CG102,1
MO44_PHW65_0193/LH185,4
MO44_PHW65_0193/LH195,4
MO44_PHW65_0193/LH198,2
MO44_PHW65_0193/PHT69,1
MO44_PHW65_0195/LH195,3
MO44_PHW65_0195/PHT69,0
MO44_PHW65_0200/LH195,0
MO44_PHW65_0200/PHT69,4
MO44_PHW65_0203/LH195,4
MO44_PHW65_0203/PHT69,3
MO44_PHW65_0207/LH195,0
MO44_PHW65_0207/PHT69,1
MO44_PHW65_0210/LH195,3
MO44_PHW65_0210/PHT69,4
MO44_PHW65_0214/LH195,0
MO44_PHW65_0214/PHT69,3
MO44_PHW65_0217/LH195,1
MO44_PHW65_0217/PHT69,1
MO44_PHW65_0218/LH195,3
MO44_PHW65_0218/PHT69,0
MO44_PHW65_0220/LH195,4
MO44_PHW65_0220/PHT69,2
MO44_PHW65_0223/LH195,4
MO44_PHW65_0223/PHT69,1
MO44_PHW65_0224/LH195,0
MO44_PHW65_0224/PHT69,2
MO44_PHW65_0225/LH195,3
MO44_PHW65_0225/PHT69,0
MO44_PHW65_0230/LH195,4
MO44_PHW65_0230/PHT69,1
MO44_PHW65_0236/LH195,2
MO44_PHW65_0236/PHT69,0
MO44_PHW65_0237/LH195,1
MO44_PHW65_0237/PHT69,3
MO44_PHW65_0242/LH195,0
MO44_PHW65_0242/PHT69,1
MO44_PHW65_0244/LH195,3
MO44_PHW65_0244/PHT69,2
MO44_PHW65_0247/LH195,3
MO44_PHW65_0247/PHT69,4
MO44_PHW65_0248/LH195,1
MO44_PHW65_0248/PHT69,1
MO44_PHW65_0250/LH195,4
MO44_PHW65_0250/PHT69,0
MO44_PHW65_0253/LH195,1
MO44_PHW65_0253/PHT69,4
MO44_PHW65_0254/LH195,0
MO44_PHW65_0254/PHT69,3
MO44_PHW65_0259/LH195,1
MO44_PHW65_0259/PHT69,3
MO44_PHW65_0260/LH195,0
MO44_PHW65_0260/PHT69,1
MO44_PHW65_0263/LH195,2
MO44_PHW65_0263/PHT69,4
MO44_PHW65_0268/LH195,3
MO44_PHW65_0268/PHT69,4
MO44_PHW65_0271/LH195,3
MO44_PHW65_0271/PHT69,2
MO44_PHW65_0274/LH195,3
MO44_PHW65_0274/PHT69,4
MO44_PHW65_0281/LH195,3
MO44_PHW65_0281/PHT69,3
MO44_PHW65_0288/LH195,4
MO44_PHW65_0288/PHT69,4
MO44_PHW65_0296/LH195,1
MO44_PHW65_0296/PHT69,4
MO44_PHW65_0302/LH195,4
MO44_PHW65_0302/PHT69,3
MO44_PHW65_0307/LH195,3
MO44_PHW65_0307/PHT69,4
MO44_PHW65_0315/LH195,0
MO44_PHW65_0315/PHT69,1
MO44_PHW65_0316/LH195,3
MO44_PHW65_0316/PHT69,2
MO44_PHW65_0317/LH195,2
MO44_PHW65_0317/PHT69,4
MO44_PHW65_0319/LH195,1
MO44_PHW65_0319/PHT69,4
MO44_PHW65_0320/LH195,4
MO44_PHW65_0320/PHT69,3
MO44_PHW65_0321/LH195,3
MO44_PHW65_0321/PHT69,2
MO44_PHW65_0324/LH195,4
MO44_PHW65_0324/PHT69,3
MO44_PHW65_0328/LH195,3
MO44_PHW65_0328/PHT69,2
MO44_PHW65_0333/LH195,1
MO44_PHW65_0333/PHT69,0
MO44_PHW65_0336/LH195,3
MO44_PHW65_0336/PHT69,1
MO44_PHW65_0339/LH195,1
MO44_PHW65_0339/PHT69,0
MO44_PHW65_0343/LH195,2
MO44_PHW65_0343/PHT69,4
MO44_PHW65_0350/LH195,2
MO44_PHW65_0350/PHT69,3
MO44_PHW65_0358/LH195,1
MO44_PHW65_0363/LH195,4
MO44_PHW65_0363/PHT69,1
MO44_PHW65_0376/LH195,1
MO44_PHW65_0376/PHT69,4
MO44_PHW65_0390/LH195,1
MO44_PHW65_0390/PHT69,1
MO44_PHW65_0391/LH195,1
MO44_PHW65_0391/PHT69,0
MO44_PHW65_0392/LH195,1
MO44_PHW65_0392/PHT69,2
MO44_PHW65_0396/LH195,2
MO44_PHW65_0396/PHT69,3
MO44_PHW65_0397/LH195,1
MO44_PHW65_0397/PHT69,4
MO44_PHW65_0404/LH195,3
MO44_PHW65_0404/PHT69,3
MO44_PHW65_0416/LH195,3
MO44_PHW65_0416/PHT69,3
MO44_PHW65_0433/LH195,2
MO44_PHW65_0433/PHT69,2
MO44_PHW65_0435/LH195,4
MO44_PHW65_0435/PHT69,3
MO44_PHW65_0442/LH195,3
MO44_PHW65_0442/PHT69,2
MO44_PHW65_0446/LH195,3
MO44_PHW65_0446/PHT69,3
MO44_PHW65_0455/LH195,4
MO44_PHW65_0455/PHT69,3
MO44_PHW65_0464/LH195,2
MO44_PHW65_0464/PHT69,3
MO44_PHW65_0471/LH195,1
MO44_PHW65_0471/PHT69,3
MO44_PHW65_0475/LH195,4
MO44_PHW65_0475/PHT69,4
MOG/LH195,0
MOG/PHT69,3
MOG_LH123HT-014-1-1-1-1-B/LH185,4
MOG_LH123HT-014-1-1-1-1-B/LH198,1
MOG_LH123HT-019-1-1-1-1-B/LH195,0
MOG_LH123HT-019-1-1-1-1-B/PHB47,3
MOG_LH123HT-031-1-1-1-1-B/LH185,1
MOG_LH123HT-031-1-1-1-1-B/LH195,2
MOG_LH123HT-031-1-1-1-1-B/LH198,1
MOG_LH123HT-031-1-1-1-1-B/PHB47,3
MOG_LH123HT-045-1-1-1-1-B/LH185,4
MOG_LH123HT-045-1-1-1-1-B/LH198,3
MOG_LH123HT-059-1-1-1-1-B/LH195,3
MOG_LH123HT-059-1-1-1-1-B/PB80,3
MOG_LH123HT-059-1-1-1-1-B/PHB47,2
MOG_LH123HT-074-1-1-1-1-B/LH185,4
MOG_LH123HT-093-1-1-1-1-B/PB80,0
MOG_LH123HT-199-1-1-1-1-B/LH185,4
MOG_LH123HT-199-1-1-1-1-B/LH195,4
MOG_LH123HT-199-1-1-1-1-B/LH198,0
MOG_LH123HT-199-1-1-1-1-B/PHB47,2
MOG_LH123HT-200-1-1-1-1-B/LH185,4
MOG_LH123HT-200-1-1-1-1-B/LH195,3
MOG_LH123HT-200-1-1-1-1-B/LH198,0
MOG_LH123HT-200-1-1-1-1-B/PB80,4
MOG_LH123HT-200-1-1-1-1-B/PHB47,4
MOG_LH145_0006/CG102,1
MOG_LH145_0006/LH185,2
MOG_LH145_0006/LH198,2
MOG_LH145_0006/PB80,3
MOG_LH145_0006/PHB47,4
MOG_LH145_0038/CG102,3
MOG_LH145_0038/LH198,3
MOG_LH145_0057/LH185,1
MOG_LH145_0057/LH198,4
MOG_LH145_0057/PB80,1
MOG_LH145_0131/LH195,0
MOG_LH145_0162/CG102,3
MOG_LH145_0162/LH185,3
MOG_LH145_0162/LH195,1
MOG_LH145_0162/LH198,4
MOG_LH145_0162/PHB47,1
MOG_LH145_0163/PB80,2
MOG_LH145_0173/CG102,0
MOG_LH145_0173/LH185,0
MOG_LH145_0173/LH195,0
MOG_LH145_0173/LH198,0
MOG_LH145_0173/PB80,0
MOG_LH145_0173/PHB47,0
MOG_LH145_0175/CG102,2
MOG_LH145_0175/LH185,4
MOG_LH145_0175/LH195,1
MOG_LH145_0175/LH198,1
MOG_LH145_0175/PB80,0
MOG_LH145_0175/PHB47,0
MOG_MO45-030-1-1-1-1-B/LH185,0
MOG_MO45-030-1-1-1-1-B/LH195,0
MOG_MO45-030-1-1-1-1-B/LH198,0
MOG_MO45-030-1-1-1-1-B/PB80,1
MOG_MO45-045-1-1-1-1-B/PB80,2
MOG_MO45-054-1-1-1-1-B/LH195,1
MOG_MO45-054-1-1-1-1-B/PB80,3
MOG_MO45-055-1-1-1-1-B/LH195,2
MOG_MO45-055-1-1-1-1-B/PB80,4
MOG_MO45-055-1-1-1-1-B/PHB47,3
MOG_MO45-071-1-1-1-1-B/LH195,2
MOG_MO45-071-1-1-1-1-B/LH198,0
MOG_MO45-071-1-1-1-1-B/PB80,1
MOG_MO45-074-1-1-1-1-B/LH185,1
MOG_MO45-074-1-1-1-1-B/LH195,1
MOG_MO45-074-1-1-1-1-B/LH198,2
MOG_MO45-074-1-1-1-1-B/PB80,0
MOG_MO45-074-1-1-1-1-B/PHB47,3
MOG_MO45-078-1-1-1-1-B/LH185,4
MOG_MO45-078-1-1-1-1-B/LH195,0
MOG_MO45-078-1-1-1-1-B/LH198,3
MOG_MO45-078-1-1-1-1-B/PB80,3
MOG_MO45-085-1-1-1-1-B/CG102,0
MOG_MO45-085-1-1-1-1-B/LH185,1
MOG_MO45-085-1-1-1-1-B/LH195,1
MOG_MO45-085-1-1-1-1-B/LH198,2
MOG_MO45-085-1-1-1-1-B/PB80,0
MOG_MO45-085-1-1-1-1-B/PHB47,0
MOG_MO45-128-1-1-1-1-B/LH185,1
MOG_MO45-128-1-1-1-1-B/LH195,0
MOG_MO45-128-1-1-1-1-B/LH198,0
MOG_MO45-128-1-1-1-1-B/PB80,4
MOG_MO45-139-1-1-1-1-B/PB80,1
MOG_NC230-007-1-1-1-1-B/PB80,2
MOG_NC230-008-1-1-1-1-B/PB80,3
MOG_NC230-009-1-1-1-1-B/LH195,3
MOG_NC230-009-1-1-1-1-B/PB80,0
MOG_NC230-010-1-1-1-1-B/LH185,0
MOG_NC230-010-1-1-1-1-B/PB80,3
MOG_NC230-011-1-1-1-1-B/CG102,0
MOG_NC230-011-1-1-1-1-B/LH198,1
MOG_NC230-028-1-1-1-1-B/PB80,3
MOG_NC230-043-1-1-1-1-B/PB80,0
MOG_NC230-183-1-1-1-1-B/CG102,4
MOG_NC230-183-1-1-1-1-B/LH185,4
MOG_NC230-183-1-1-1-1-B/LH198,3
MOG_NC230-183-1-1-1-1-B/PB80,2
MOG_OH43_0071/CG102,1
MOG_OH43_0071/LH185,4
MOG_OH43_0170/CG102,3
MOG_OH43_0170/LH185,4
MOG_OH43_0170/LH198,2
MOG_OH43_0179/PB80,3
MOG_OH43_0300/LH195,0
MOG_OH43_0300/PB80,3
MOG_OH43_0367/LH185,4
MOG_OH43_0367/LH198,2
MOG_OH43_0402/PB80,4
MOG_OH43_0416/LH185,0
MOG_OH43_0439/CG102,1
MOG_OH43_0439/LH185,3
MOG_OH43_0439/LH198,2
MOG_OH43_0439/PB80,2
MOG_PHG83-014-1-1-1-1-B/CG102,0
MOG_PHG83-014-1-1-1-1-B/LH185,2
MOG_PHG83-069-1-1-1-1-B/PB80,2
MOG_PHG83-090-1-1-1-1-B/LH185,0
MOG_PHG83-090-1-1-1-1-B/LH195,2
MOG_PHG83-090-1-1-1-1-B/LH198,0
MOG_PHG83-090-1-1-1-1-B/PB80,0
MOG_PHG83-129-1-1-1-1-B/LH195,1
MOG_PHG83-129-1-1-1-1-B/PB80,0
MOG_PHG83-211-1-1-1-1-B/CG102,4
MOG_PHG83-211-1-1-1-1-B/LH185,0
MOG_PHG83-224-1-1-1-1-B/LH185,2
MOG_PHG83-224-1-1-1-1-B/LH198,2
MOG_PHG83-224-1-1-1-1-B/PB80,4
MP718/PHZ51,1
MP719/PHZ51,2
MS222/DK3IIH6,0
N192/DK3IIH6,3
N192/LH82,4
N192/PHZ51,0
N209/DK3IIH6,0
N217/DK3IIH6,3
N218/DK3IIH6,2
N28HT/DK3IIH6,4
N501/DK3IIH6,0
N501/LH82,2
N501/PHB47,1
N501/PHZ51,0
N542/LH82,3
N542/PHB47,1
N542/PHZ51,2
NC258/PHB47,0
NC358/LH195,2
NC358/LH82,2
NC358/PHB47,0
NC358/PHZ51,2
NKH8431/DK3IIH6,3
NKH8431/LH82,3
NKH8431/PHB47,1
NKH8431/PHZ51,2
NYH-029/PHB47,2
NYH-052/PHB47,0
NYH-055/PHB47,1
NYH-061/PHB47,0
NYH-081/PHB47,1
NYH-128/PHB47,4
NYH-129/PHB47,3
NYH-167/PHB47,2
NYH-211/PHB47,3
NYH-229/PHB47,3
NYH-240/PHB47,0
NYH-244/PHB47,3
NYH-245/PHB47,2
NYH-250/PHB47,4
NYH-251/PHB47,4
NYH-258/PHB47,2
NYH-269/PHB47,4
OH43/LH195,1
OH43/LH82,1
OH43/PHB47,2
OH7B/LH195,3
PB80/CG102,4
PB80/LH185,3
PB80/LH198,1
PB80/LH82,1
PB80/PHZ51,3
PB80/TX779,1
PH207/PHB47,1
PH207_PHG47-1/PHB47,3
PH207_PHG47-10/PHB47,0
PH207_PHG47-11/PHB47,4
PH207_PHG47-12/PHB47,4
PH207_PHG47-13/PHB47,2
PH207_PHG47-14/PHB47,2
PH207_PHG47-15/PHB47,4
PH207_PHG47-16/PHB47,3
PH207_PHG47-17/PHB47,2
PH207_PHG47-18/PHB47,4
PH207_PHG47-19/PHB47,3
PH207_PHG47-2/PHB47,1
PH207_PHG47-20/PHB47,2
PH207_PHG47-22/PHB47,3
PH207_PHG47-23/PHB47,0
PH207_PHG47-24/PHB47,3
PH207_PHG47-25/PHB47,3
PH207_PHG47-3/PHB47,4
PH207_PHG47-4/PHB47,4
PH207_PHG47-5/PHB47,2
PH207_PHG47-6/PHB47,0
PH207_PHG47-7/PHB47,4
PH207_PHG47-8/PHB47,4
PHAW6/LH82,2
PHAW6/PHB47,1
PHAW6/PHZ51,1
PHB09/DK3IIH6,2
PHB47/DK3IIH6,0
PHB47/LH195,0
PHB47/MO17,3
PHB47/PB80,2
PHB47/PHG29,0
PHB47/PHG47,4
PHB47/PHG83,2
PHB47/PHK05,1
PHB47/PHK56,2
PHB47/PHK76,4
PHB47/PHN82,3
PHB47/PHR25,1
PHB47/PHR55,4
PHB47/PHW03,2
PHB47/PHW30,2
PHB47/PHZ51,4
PHB47/Q381,3
PHBB3/DK3IIH6,2
PHBW8/DK3IIH6,3
PHG29/CG120,4
PHG29/LH145,3
PHG29/PHG47,4
PHG29/PHHV4,1
PHG29/PHRE1,4
PHG29/S8324,2
PHG39/LH195,3
PHG39/PHG35,0
PHG39/PHM49,3
PHG39/PHN82,0
PHG39/PHP02,4
PHG39/TX205,2
PHG47/CG120,3
PHG47/LH145,3
PHG47/PHHV4,1
PHG47/PHRE1,4
PHG47/S8324,1
PHG50/PHB47,3
PHG72/LH82,2
PHG72/PHB47,2
PHG72/PHZ51,4
PHG80/DK3IIH6,2
PHG80/LH82,1
PHG80/PHB47,4
PHG80/PHZ51,3
PHHB9/LH185,1
PHHB9/LH210,1
PHHB9/NK787,1
PHHB9/PHJ65,4
PHHB9/PHM49,3
PHHB9/PHM57,4
PHHB9/PHN47,3
PHHB9/PHN82,0
PHHB9/PHP60,0
PHHB9/PHR03,2
PHHB9/PHR55,1
PHHB9/PHR63,2
PHHB9/PHW30,2
PHHB9/PHW53,2
PHHB9/PHZ51,4
PHHB9/Q381,0
PHHV4/DK3IIH6,2
PHHV4/LH162,3
PHHV4/LH185,2
PHHV4/PHK05,4
PHHV4/PHK56,2
PHHV4/PHR25,2
PHHV4/PHW03,1
PHHV4/PHZ51,0
PHJ40/LH82,3
PHJ40/PHAJ0,1
PHJ40/PHP02,1
PHJ40/PHZ51,4
PHJ89/CG120,0
PHJ89/LH145,4
PHJ89/PH207,0
PHJ89/PHB47,4
PHJ89/PHHV4,4
PHJ89/PHRE1,0
PHJ89/S8324,0
PHK05/PHRE1,2
PHK56/LH145,4
PHK56/PHRE1,2
PHKE6/LH82,0
PHKE6/PHB47,0
PHKE6/PHZ51,4
PHM49/LH82,1
PHM49/PHB47,3
PHM49/PHW65,3
PHM49/PHZ51,2
PHM81/PHB47,1
PHM81/PHZ51,4
PHN11/PHT69,3
PHN11_LH145_0002/CG102,0
PHN11_LH145_0002/LH185,3
PHN11_LH145_0002/LH198,0
PHN11_LH145_0002/PHB47,1
PHN11_LH145_0003/CG102,2
PHN11_LH145_0003/LH185,3
PHN11_LH145_0003/LH198,4
PHN11_LH145_0003/PHB47,2
PHN11_LH145_0005/CG102,4
PHN11_LH145_0005/LH185,4
PHN11_LH145_0005/LH198,2
PHN11_LH145_0005/PHB47,1
PHN11_LH145_0028/CG102,1
PHN11_LH145_0028/LH185,4
PHN11_LH145_0028/LH195,1
PHN11_LH145_0028/LH198,3
PHN11_LH145_0028/PHB47,0
PHN11_LH145_0029/PB80,3
PHN11_LH145_0036/CG102,0
PHN11_LH145_0036/LH198,3
PHN11_LH145_0058/CG102,4
PHN11_LH145_0062/CG102,4
PHN11_LH145_0062/LH185,2
PHN11_LH145_0062/LH198,1
PHN11_LH145_0085/CG102,0
PHN11_LH145_0085/LH185,2
PHN11_LH145_0085/LH198,2
PHN11_LH145_0085/PHB47,0
PHN11_OH43_0001/CG102,2
PHN11_OH43_0001/LH185,0
PHN11_OH43_0001/LH198,0
PHN11_OH43_0001/PB80,0
PHN11_OH43_0001/PHB47,1
PHN11_OH43_0036/CG102,0
PHN11_OH43_0036/LH185,1
PHN11_OH43_0036/LH198,0
PHN11_OH43_0036/PHB47,3
PHN11_OH43_0045/PB80,1
PHN11_OH43_0075/CG102,4
PHN11_OH43_0075/LH185,1
PHN11_OH43_0075/LH195,3
PHN11_OH43_0075/LH198,1
PHN11_OH43_0075/PB80,2
PHN11_OH43_0075/PHB47,0
PHN11_OH43_0088/CG102,3
PHN11_OH43_0088/LH185,0
PHN11_OH43_0088/LH198,2
PHN11_OH43_0088/PHB47,4
PHN11_OH43_0142/CG102,0
PHN11_OH43_0142/LH185,0
PHN11_OH43_0142/LH195,2
PHN11_OH43_0142/LH198,3
PHN11_OH43_0142/PB80,2
PHN11_OH43_0142/PHB47,2
PHN11_OH43_0184/CG102,3
PHN11_OH43_0184/LH198,2
PHN11_OH43_0184/PHB47,1
PHN11_OH43_0190/LH195,0
PHN11_OH43_0215/LH195,2
PHN11_OH43_0215/PB80,1
PHN11_OH43_0215/PHB47,4
PHN11_PHG47_0023/CG102,0
PHN11_PHG47_0023/LH198,2
PHN11_PHG47_0023/PHB47,0
PHN11_PHG47_0048/CG102,1
PHN11_PHG47_0048/LH195,1
PHN11_PHG47_0048/LH198,3
PHN11_PHG47_0048/PB80,2
PHN11_PHG47_0048/PHB47,2
PHN11_PHG47_0172/CG102,1
PHN11_PHG47_0172/LH195,2
PHN11_PHG47_0172/LH198,0
PHN11_PHG47_0172/PB80,0
PHN11_PHG47_0251/CG102,3
PHN11_PHG47_0251/LH185,3
PHN11_PHG47_0251/LH195,0
PHN11_PHG47_0251/LH198,2
PHN11_PHG47_0251/PHB47,3
PHN11_PHG47_0287/CG102,3
PHN11_PHG47_0287/LH195,4
PHN11_PHG47_0287/LH198,1
PHN11_PHG47_0287/PHB47,2
PHN11_PHG47_0385/CG102,2
PHN11_PHG47_0385/LH185,0
PHN11_PHG47_0385/LH198,0
PHN11_PHG47_0385/PHB47,4
PHN11_PHG47_0388/CG102,2
PHN11_PHG47_0388/LH185,1
PHN11_PHG47_0388/LH195,2
PHN11_PHG47_0388/LH198,1
PHN11_PHG47_0388/PHB47,2
PHN11_PHG47_0390/CG102,0
PHN11_PHG47_0390/LH198,1
PHN11_PHG47_0390/PB80,3
PHN11_PHG47_0390/PHB47,0
PHN11_PHW65_0001/LH195,3
PHN11_PHW65_0001/PHT69,2
PHN11_PHW65_0003/LH195,3
PHN11_PHW65_0003/PHT69,0
PHN11_PHW65_0010/LH195,2
PHN11_PHW65_0010/PHT69,1
PHN11_PHW65_0011/LH195,4
PHN11_PHW65_0011/PHT69,4
PHN11_PHW65_0015/CG102,1
PHN11_PHW65_0015/LH185,0
PHN11_PHW65_0015/LH195,3
PHN11_PHW65_0015/LH198,3
PHN11_PHW65_0015/PHB47,2
PHN11_PHW65_0015/PHT69,0
PHN11_PHW65_0016/LH195,0
PHN11_PHW65_0016/PHT69,0
PHN11_PHW65_0017/LH195,3
PHN11_PHW65_0017/PHT69,3
PHN11_PHW65_0021/LH195,1
PHN11_PHW65_0021/PHT69,1
PHN11_PHW65_0022/LH195,4
PHN11_PHW65_0022/PHT69,0
PHN11_PHW65_0023/LH195,4
PHN11_PHW65_0023/PHT69,0
PHN11_PHW65_0027/LH195,0
PHN11_PHW65_0027/PHT69,4
PHN11_PHW65_0028/LH195,3
PHN11_PHW65_0028/PHT69,1
PHN11_PHW65_0032/LH195,3
PHN11_PHW65_0035/LH195,1
PHN11_PHW65_0035/PHT69,4
PHN11_PHW65_0042/LH195,2
PHN11_PHW65_0042/PHT69,0
PHN11_PHW65_0048/LH195,1
PHN11_PHW65_0048/PHT69,3
PHN11_PHW65_0049/LH195,2
PHN11_PHW65_0049/PHT69,1
PHN11_PHW65_0050/LH195,3
PHN11_PHW65_0050/PHT69,4
PHN11_PHW65_0055/LH195,0
PHN11_PHW65_0055/PHT69,1
PHN11_PHW65_0056/LH195,0
PHN11_PHW65_0056/PHT69,0
PHN11_PHW65_0057/LH195,1
PHN11_PHW65_0057/PHT69,1
PHN11_PHW65_0058/LH195,1
PHN11_PHW65_0058/PHT69,0
PHN11_PHW65_0059/LH195,3
PHN11_PHW65_0059/PHT69,2
PHN11_PHW65_0061/LH195,3
PHN11_PHW65_0061/PHT69,0
PHN11_PHW65_0062/LH195,2
PHN11_PHW65_0062/PHT69,3
PHN11_PHW65_0063/LH195,3
PHN11_PHW65_0063/PHT69,0
PHN11_PHW65_0064/LH195,1
PHN11_PHW65_0064/PHT69,4
PHN11_PHW65_0065/LH195,4
PHN11_PHW65_0065/PB80,0
PHN11_PHW65_0065/PHB47,1
PHN11_PHW65_0065/PHT69,3
PHN11_PHW65_0066/LH195,1
PHN11_PHW65_0066/PHT69,0
PHN11_PHW65_0069/LH195,1
PHN11_PHW65_0069/PHT69,3
PHN11_PHW65_0070/LH195,3
PHN11_PHW65_0070/PHT69,1
PHN11_PHW65_0071/LH195,3
PHN11_PHW65_0071/PHT69,4
PHN11_PHW65_0072/LH195,4
PHN11_PHW65_0072/PHT69,4
PHN11_PHW65_0073/LH195,0
PHN11_PHW65_0073/PHT69,4
PHN11_PHW65_0074/LH195,2
PHN11_PHW65_0074/PHT69,4
PHN11_PHW65_0075/LH195,4
PHN11_PHW65_0075/PHT69,1
PHN11_PHW65_0076/LH195,2
PHN11_PHW65_0076/PHT69,1
PHN11_PHW65_0077/LH195,4
PHN11_PHW65_0077/PHT69,4
PHN11_PHW65_0079/LH195,1
PHN11_PHW65_0079/PHT69,3
PHN11_PHW65_0080/LH195,0
PHN11_PHW65_0080/PHT69,4
PHN11_PHW65_0081/LH195,1
PHN11_PHW65_0081/PHT69,3
PHN11_PHW65_0084/LH195,4
PHN11_PHW65_0084/PHT69,0
PHN11_PHW65_0086/LH195,0
PHN11_PHW65_0086/PHT69,3
PHN11_PHW65_0087/LH195,2
PHN11_PHW65_0087/PHT69,1
PHN11_PHW65_0088/LH195,0
PHN11_PHW65_0088/PHT69,3
PHN11_PHW65_0089/LH195,0
PHN11_PHW65_0089/PHT69,2
PHN11_PHW65_0092/LH195,0
PHN11_PHW65_0092/PHT69,3
PHN11_PHW65_0094/LH195,4
PHN11_PHW65_0096/LH195,0
PHN11_PHW65_0096/PHT69,3
PHN11_PHW65_0100/LH195,0
PHN11_PHW65_0100/PHT69,4
PHN11_PHW65_0101/LH195,1
PHN11_PHW65_0101/PHB47,0
PHN11_PHW65_0101/PHT69,4
PHN11_PHW65_0103/LH195,2
PHN11_PHW65_0103/PHT69,1
PHN11_PHW65_0105/LH195,1
PHN11_PHW65_0105/PHT69,0
PHN11_PHW65_0106/LH195,1
PHN11_PHW65_0106/PHT69,0
PHN11_PHW65_0107/LH195,1
PHN11_PHW65_0107/PHT69,1
PHN11_PHW65_0110/LH195,2
PHN11_PHW65_0110/PHT69,0
PHN11_PHW65_0113/LH195,1
PHN11_PHW65_0113/PHT69,0
PHN11_PHW65_0114/LH195,2
PHN11_PHW65_0114/PHT69,4
PHN11_PHW65_0117/LH195,1
PHN11_PHW65_0117/PHT69,2
PHN11_PHW65_0118/LH195,2
PHN11_PHW65_0118/PHT69,4
PHN11_PHW65_0119/LH195,4
PHN11_PHW65_0119/PHT69,0
PHN11_PHW65_0125/LH195,0
PHN11_PHW65_0125/PHT69,4
PHN11_PHW65_0129/LH195,4
PHN11_PHW65_0129/PHT69,2
PHN11_PHW65_0132/LH195,0
PHN11_PHW65_0132/PHT69,1
PHN11_PHW65_0133/LH195,3
PHN11_PHW65_0133/PHT69,1
PHN11_PHW65_0136/LH195,4
PHN11_PHW65_0136/PHT69,0
PHN11_PHW65_0137/LH195,1
PHN11_PHW65_0137/PHT69,0
PHN11_PHW65_0138/LH195,0
PHN11_PHW65_0138/PHT69,3
PHN11_PHW65_0139/LH195,1
PHN11_PHW65_0139/PHT69,2
