genotype,environment
PHJ40/PHAJ0,WIH3_2024
PHRE1/PHTD5,WIH3_2024
PHW52/PHM49,WIH3_2024
TX777/LH195,WIH3_2024
W10004_0018/PHP02,WIH3_2024
W10004_0034/PHP02,WIH3_2024
W10004_0055/PHP02,WIH3_2024
W10004_0062/PHP02,WIH3_2024
W10004_0103/PHP02,WIH3_2024
W10004_0133/PHP02,WIH3_2024
W10004_0138/PHP02,WIH3_2024
W10004_0146/PHP02,WIH3_2024
W10004_0160/PHP02,WIH3_2024
W10004_0167/PHP02,WIH3_2024
W10004_0189/PHP02,WIH3_2024
W10004_0236/PHP02,WIH3_2024
W10004_0258/PHP02,WIH3_2024
W10004_0270/PHP02,WIH3_2024
W10004_0311/PHP02,WIH3_2024
W10004_0346/PHP02,WIH3_2024
W10004_0403/PHP02,WIH3_2024
W10004_0409/PHP02,WIH3_2024
W10004_0412/PHP02,WIH3_2024
W10004_0601/PHP02,WIH3_2024
W10004_0608/PHP02,WIH3_2024
W10004_0637/PHP02,WIH3_2024
W10004_0658/PHP02,WIH3_2024
W10004_0688/PHP02,WIH3_2024
W10004_0691/PHP02,WIH3_2024
W10004_0715/PHP02,WIH3_2024
W10004_0747/PHP02,WIH3_2024
W10004_0754/PHP02,WIH3_2024
W10004_0771/PHP02,WIH3_2024
W10004_0776/PHP02,WIH3_2024
W10004_0801/PHP02,WIH3_2024
W10004_0822/PHP02,WIH3_2024
W10004_0858/PHP02,WIH3_2024
W10004_0859/PHP02,WIH3_2024
W10004_0866/PHP02,WIH3_2024
W10004_0949/PHP02,WIH3_2024
W10004_0969/PHP02,WIH3_2024
W10004_1014/PHP02,WIH3_2024
W10004_1018/PHP02,WIH3_2024
W10004_1032/PHP02,WIH3_2024
W10004_1080/PHP02,WIH3_2024
